00:00:00.004405 main     VirtualBox XPCOM Server 6.1.2 r135662 linux.amd64 (Jan 14 2020 22:33:16) release log
00:00:00.004411 main     Log opened 2020-02-04T10:25:30.056532000Z
00:00:00.004412 main     Build Type: release
00:00:00.004417 main     OS Product: Linux
00:00:00.004420 main     OS Release: 5.4.13-arch1-1
00:00:00.004423 main     OS Version: #1 SMP PREEMPT Fri, 17 Jan 2020 23:09:54 +0000
00:00:00.004509 main     DMI Product Name: Aspire A515-51G
00:00:00.004532 main     DMI Product Version: V1.15
00:00:00.004542 main     Firmware type: UEFI
00:00:00.006421 main     Secure Boot: Disabled
00:00:00.006508 main     Host RAM: 7838MB (7.6GB) total, 4981MB (4.8GB) available
00:00:00.006514 main     Executable: /usr/lib/virtualbox/VBoxSVC
00:00:00.006515 main     Process ID: 2177476
00:00:00.006516 main     Package type: LINUX_64BITS_GENERIC (OSE)
00:00:00.010079 main     IPC socket path: /tmp/.vbox-saul-ipc/ipcd
00:00:00.129432 nspr-2   VirtualBox: object creation starts
00:00:00.129600 nspr-2   Home directory: '/home/saul/.config/VirtualBox'
00:00:00.130426 nspr-2   Loading settings file "/home/saul/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:00.155423 nspr-2   NetIfAdpCtlOut: VBoxNetAdpCtl: Error while retrieving link speed for wlp3s0: VBoxNetAdpCtl: ioctl failed: Operation not supported
00:00:00.157493 nspr-2   HostDnsMonitor: initializing
00:00:00.158127 nspr-2   NAT: resolv.conf: nameserver 178.233.140.110
00:00:00.158162 nspr-2   NAT: resolv.conf: nameserver 46.197.15.60
00:00:00.158174 nspr-2   NAT: resolv.conf: nameserver 176.240.150.250
00:00:00.158201 nspr-2   HostDnsMonitor: updating information
00:00:00.158236 nspr-2   HostDnsMonitor: old information
00:00:00.158245 nspr-2     no server entries
00:00:00.158253 nspr-2     no domain set
00:00:00.158261 nspr-2     no search string entries
00:00:00.158269 nspr-2   HostDnsMonitor: new information
00:00:00.158276 nspr-2     server 1: 178.233.140.110
00:00:00.158285 nspr-2     server 2: 46.197.15.60
00:00:00.158293 nspr-2     server 3: 176.240.150.250
00:00:00.158301 nspr-2     no domain set
00:00:00.158308 nspr-2     no search string entries
00:00:00.167943 nspr-2   VD: VDInit finished with VINF_SUCCESS
00:00:00.169788 nspr-2   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={027bc463-929c-40e8-bf16-fea557cd8e7e} aComponent={SystemPropertiesWrap} aText={Cannot determine default Guest Additions ISO location. Most likely they are not available}, preserve=false aResultDetail=0
00:00:00.186470 nspr-2   Loading settings file "/home/saul/Virtualbox VMs/Windows 10/Windows 10.vbox" with version "1.17-linux"
00:00:00.189320 nspr-2   VirtualBox: object created
00:00:00.208663 nspr-2   Launched VM: 268439696 pid: 2177501 (0x2139dd) frontend: GUI/Qt name: Windows 10
00:00:00.913166 nspr-4   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={16ced992-5fdc-4aba-aff5-6a39bbd7c38b} aComponent={HostWrap} aText={VirtualBox is not currently allowed to access USB devices.  You can change this by adding your user to the 'vboxusers' group.  Please see the user manual for a more detailed explanation}, preserve=true  aResultDetail=0
00:00:00.914243 nspr-5   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={16ced992-5fdc-4aba-aff5-6a39bbd7c38b} aComponent={HostWrap} aText={VirtualBox is not currently allowed to access USB devices.  You can change this by adding your user to the 'vboxusers' group.  Please see the user manual for a more detailed explanation}, preserve=true  aResultDetail=0
00:00:00.917693 nspr-5   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={70401eef-c8e9-466b-9660-45cb3e9979e4} aComponent={ExtPackManagerWrap} aText={No extension pack by the name 'Oracle VM VirtualBox Extension Pack' was found}, preserve=false aResultDetail=0
00:00:01.033401 nspr-3   WARNING [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={16ced992-5fdc-4aba-aff5-6a39bbd7c38b} aComponent={HostWrap} aText={VirtualBox is not currently allowed to access USB devices.  You can change this by adding your user to the 'vboxusers' group.  Please see the user manual for a more detailed explanation}, preserve=true  aResultDetail=0
00:00:07.411276 nspr-5   Saving settings file "/home/saul/Virtualbox VMs/Windows 10/Windows 10.vbox" with version "1.17-linux"
00:00:47.296763 nspr-3   Saving settings file "/home/saul/Virtualbox VMs/Windows 10/Windows 10.vbox" with version "1.17-linux"
00:01:05.201439 nspr-3   Saving settings file "/home/saul/Virtualbox VMs/Windows 10/Windows 10.vbox" with version "1.17-linux"
00:01:05.358213 nspr-5   Saving settings file "/home/saul/Virtualbox VMs/Windows 10/Windows 10.vbox" with version "1.17-linux"
00:01:10.629791 nspr-2   Launched VM: 335856032 pid: 2181141 (0x214815) frontend: GUI/Qt name: Windows 10
